dt,temp,feels_like,pressure,humidity,dew_point,clouds,wind_speed,wind_deg,wind_gust,weather,snow,visibility
1618358400,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}]",{'1h': 0.7},
1618362000,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}]",{'1h': 0.7},
1618365600,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}]",{'1h': 0.7},
1618369200,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}]",{'1h': 0.7},
1618372800,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",{'1h': 0.7},
1618376400,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",{'1h': 0.7},
1618380000,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",{'1h': 0.7},
1618383600,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",{'1h': 0.7},
1618387200,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",{'1h': 0.7},
1618390800,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",{'1h': 0.7},
1618394400,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",{'1h': 0.7},
1618398000,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",{'1h': 0.7},
1618401600,277.94,272.67,1029,72,273.33,64,4.73,296,6.88,"[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13d'}]",{'1h': 0.7},
1618405200,277.98,272.89,1029,71,273.17,76,4.44,294,6.53,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,
1618408800,277.79,272.81,1030,71,273.01,77,4.24,287,6.36,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,
1618412400,277.84,273.21,1030,71,273.05,77,3.76,289,5.88,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,
1618416000,277.59,273.43,1030,74,273.37,77,3.15,284,5.43,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,
1618419600,277.15,273.29,1031,76,273.31,67,2.71,276,4.28,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,
1618423200,276.01,272.58,1031,81,273.09,6,2.05,251,2.1,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,
1618426800,275.06,271.49,1032,83,272.56,21,2.13,232,2.48,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",,
1618430400,275.08,272.02,1029,87,273.15,75,1.54,120,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0
1618434000,274.63,271.5,1029,87,272.76,75,1.54,120,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,10000.0
1618437600,274.08,270.49,1030,86,272.14,40,2.06,80,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,10000.0
1618441200,273.49,269.97,1030,93,272.57,40,2.06,70,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,10000.0
